Education,Marital_Status,Income,Kids,Days_is_client,Recency,Expenses,Client_age,TotalNumPurchases,TotalAcceptedCmp,Complain,Response
Graduate,Partner,18100.0,0,327,14,14,68,4,0,0,0
Graduate,Single,30279.0,1,546,13,37,25,5,0,0,0
Graduate,Partner,20130.0,0,104,99,34,40,5,0,0,0
Graduate,Single,23295.0,0,351,72,20,55,4,0,0,0
Postgraduate,Single,42618.0,1,263,92,192,42,11,0,0,0
Graduate,Single,81246.0,0,182,87,1379,50,17,2,0,0
Graduate,Partner,24027.0,1,385,7,48,38,7,0,0,0
Postgraduate,Partner,55707.0,1,189,91,428,61,16,0,0,0
Graduate,Single,57959.0,1,423,71,868,59,27,0,0,0
Graduate,Partner,56796.0,1,498,24,1001,45,27,0,0,0
Postgraduate,Single,36230.0,1,255,17,59,43,7,0,0,0
Graduate,Partner,70829.0,2,210,87,431,34,16,0,0,0
Graduate,Partner,65991.0,1,660,21,971,38,27,0,0,0
Graduate,Partner,38988.0,3,678,90,348,42,19,0,0,0
Graduate,Single,89572.0,0,652,44,2059,48,24,2,0,1
Postgraduate,Partner,42207.0,1,454,71,265,30,14,1,0,1
Graduate,Partner,50300.0,1,35,52,270,62,13,0,0,0
Graduate,Partner,66664.0,0,642,78,1289,32,19,0,0,0
Graduate,Partner,60597.0,1,179,2,893,50,16,1,0,1
Graduate,Single,70165.0,0,280,60,926,65,22,0,0,0
Postgraduate,Single,50520.0,1,152,25,135,56,9,0,0,0
Graduate,Partner,80124.0,0,3,47,1495,51,19,1,0,0
Graduate,Partner,33183.0,1,125,46,120,39,9,0,0,0
Postgraduate,Single,66582.0,0,118,83,1288,45,20,0,0,0
Postgraduate,Partner,75261.0,0,432,17,1743,59,17,2,0,1
Graduate,Single,31880.0,1,606,13,15,44,4,0,0,0
Graduate,Partner,53790.0,2,115,86,542,63,20,0,0,0
Postgraduate,Partner,49269.0,1,683,92,890,43,25,0,0,0
Graduate,Partner,61456.0,1,459,47,1388,39,33,0,0,0
Graduate,Partner,37406.0,1,262,18,17,34,4,0,0,1
Postgraduate,Partner,56937.0,1,694,81,906,33,30,1,0,1
Graduate,Partner,38415.0,2,543,91,44,36,6,0,0,0
Graduate,Single,20518.0,1,42,58,25,26,5,0,0,0
Graduate,Partner,62503.0,1,496,40,973,58,26,0,0,0
Postgraduate,Single,41644.0,2,51,67,31,42,6,0,0,0
Postgraduate,Partner,55842.0,1,37,19,518,37,17,0,0,0
Postgraduate,Partner,62010.0,1,614,93,530,42,19,0,0,0
Graduate,Partner,41124.0,1,606,41,506,37,21,0,0,0
Postgraduate,Partner,38961.0,1,181,60,70,41,6,0,0,0
Postgraduate,Single,37760.0,1,322,54,54,42,6,0,0,0
Graduate,Single,32233.0,1,679,26,296,40,12,1,0,1
Graduate,Partner,43057.0,1,242,30,266,39,15,0,0,0
Postgraduate,Partner,83151.0,0,627,93,747,54,19,0,0,0
Postgraduate,Single,78825.0,0,653,35,895,50,29,0,0,1
Postgraduate,Partner,65104.0,1,227,4,1053,38,17,0,0,0
Graduate,Partner,60093.0,1,368,92,735,40,21,0,0,0
Graduate,Partner,14045.0,1,154,24,20,45,5,0,0,0
Graduate,Single,28457.0,0,609,96,205,62,10,0,0,0
Postgraduate,Partner,78952.0,1,643,11,2092,56,21,0,0,0
Graduate,Single,46310.0,1,573,99,309,38,14,0,0,0
Graduate,Partner,76005.0,0,492,72,1722,59,22,1,0,0
Postgraduate,Single,58308.0,1,533,77,900,50,15,0,0,0
Postgraduate,Single,55614.0,0,214,85,682,70,20,1,0,0
Postgraduate,Single,59432.0,1,442,88,663,52,22,0,0,0
Graduate,Single,55563.0,1,85,22,43,36,6,0,0,0
Postgraduate,Partner,78642.0,1,434,83,1816,43,18,0,0,0
Postgraduate,Partner,67911.0,1,38,63,976,65,27,0,0,0
Graduate,Partner,65275.0,0,452,9,746,70,21,0,0,0
Graduate,Partner,27203.0,2,692,92,64,64,6,0,0,0
Postgraduate,Partner,48330.0,1,226,2,32,53,5,0,0,0
Undergraduate,Partner,24279.0,0,547,6,263,24,9,0,0,0
Postgraduate,Partner,64355.0,1,674,66,1445,29,21,0,0,0
Postgraduate,Partner,50943.0,1,373,49,46,58,5,0,0,0
Graduate,Single,53653.0,0,599,29,1210,61,28,0,0,0
Graduate,Partner,65665.0,1,209,77,945,38,24,0,0,0
Graduate,Single,81217.0,0,345,77,1157,25,22,0,0,0
Graduate,Partner,34935.0,0,373,71,137,22,8,0,0,0
Graduate,Single,61250.0,1,560,49,730,55,25,0,0,0
Postgraduate,Partner,39665.0,1,400,97,216,33,12,1,0,0
Graduate,Single,60152.0,1,458,6,943,35,23,0,0,0
Graduate,Partner,48920.0,2,252,93,347,50,16,1,0,0
Postgraduate,Partner,89120.0,0,104,78,1924,55,19,1,0,0
Postgraduate,Partner,44124.0,1,414,62,397,68,17,0,0,0
Postgraduate,Single,81169.0,0,441,47,2089,39,22,0,0,0
Graduate,Partner,36443.0,2,511,9,138,53,11,0,0,0
Graduate,Single,26095.0,1,364,77,42,24,5,0,0,0
Graduate,Partner,71367.0,0,310,24,777,55,17,0,0,0
Postgraduate,Partner,80184.0,0,120,19,1902,70,20,2,0,0
Graduate,Single,30630.0,2,153,67,52,49,7,0,0,0
Postgraduate,Single,73454.0,0,120,95,1651,27,13,1,0,0
Graduate,Partner,42691.0,0,317,48,358,23,13,0,0,0
Graduate,Partner,70503.0,0,637,73,1727,61,16,2,0,0
Graduate,Partner,25545.0,1,659,35,210,27,10,0,0,1
Graduate,Partner,32880.0,1,572,76,42,28,5,0,0,0
Postgraduate,Partner,77863.0,0,214,20,1291,56,20,0,0,0
Postgraduate,Partner,50353.0,0,21,72,442,37,15,0,0,0
Graduate,Single,61839.0,0,686,20,1895,50,17,0,0,0
Postgraduate,Partner,49154.0,2,238,69,411,54,19,0,0,0
Graduate,Single,47682.0,1,499,80,521,39,19,0,0,0
Graduate,Single,72679.0,1,284,65,1168,45,17,0,0,0
Postgraduate,Partner,57954.0,2,11,52,493,37,23,1,0,0
Graduate,Partner,65316.0,2,431,65,260,52,12,0,0,0
Graduate,Single,28567.0,1,377,57,46,32,7,0,0,0
Postgraduate,Partner,47352.0,1,444,70,319,63,16,0,0,0
Graduate,Partner,44931.0,1,162,0,96,47,7,0,0,0
Graduate,Single,76982.0,0,134,19,1062,47,16,1,0,1
Graduate,Partner,57247.0,1,325,50,232,62,12,0,0,0
Postgraduate,Single,22944.0,1,188,67,76,33,9,0,0,0
Graduate,Partner,25315.0,1,234,46,54,37,9,0,0,0
Graduate,Single,43638.0,1,692,37,201,45,11,0,0,0
Postgraduate,Single,42710.0,1,578,38,406,30,14,0,0,0
Postgraduate,Partner,84169.0,0,326,9,1919,32,20,2,0,1
Graduate,Partner,54058.0,1,390,56,662,38,20,0,0,0
Graduate,Partner,24683.0,1,113,98,41,24,8,0,0,0
Graduate,Single,85620.0,0,173,68,1600,50,14,0,0,1
Graduate,Partner,47850.0,1,208,72,134,34,8,0,0,0
Graduate,Partner,19514.0,2,154,47,69,46,10,1,0,1
Postgraduate,Partner,27159.0,2,92,33,21,41,6,0,0,0
Graduate,Single,39548.0,2,90,87,54,51,7,0,0,0
Graduate,Single,21474.0,1,82,0,91,25,8,1,0,1
Postgraduate,Single,60504.0,1,142,73,526,43,18,0,0,0
Graduate,Partner,22419.0,0,437,74,162,51,8,0,0,0
Postgraduate,Partner,81698.0,0,235,4,1008,65,25,0,0,1
Graduate,Partner,43462.0,2,655,50,240,62,16,0,0,0
Postgraduate,Single,54880.0,1,485,57,795,36,21,0,0,0
Graduate,Partner,79908.0,0,450,30,1772,32,19,1,0,0
Graduate,Partner,15315.0,0,330,27,64,44,8,0,0,0
Graduate,Partner,87771.0,1,403,61,1957,55,20,4,0,1
Graduate,Partner,33039.0,1,293,4,78,36,7,0,0,0
Graduate,Single,81741.0,0,378,75,1572,34,19,0,0,0
Postgraduate,Partner,71499.0,1,369,12,795,43,26,0,0,0
Graduate,Partner,62466.0,1,165,13,889,44,26,0,0,0
Postgraduate,Single,48799.0,1,236,9,331,51,15,0,0,0
Postgraduate,Partner,52157.0,1,22,48,265,64,12,0,0,0
Graduate,Single,66565.0,1,571,80,1065,52,19,0,0,0
Postgraduate,Partner,29298.0,2,295,60,11,63,4,0,0,0
Graduate,Single,47691.0,1,359,43,21,35,4,0,0,0
Graduate,Partner,38200.0,2,569,19,17,44,4,0,0,0
Graduate,Partner,44989.0,1,655,26,369,40,16,0,0,0
Postgraduate,Partner,38443.0,2,153,58,38,46,6,0,0,0
Graduate,Single,38593.0,1,289,42,177,36,11,0,0,0
Postgraduate,Partner,64413.0,1,332,27,279,44,12,0,0,0
Postgraduate,Partner,36959.0,1,270,56,62,33,7,0,0,0
Postgraduate,Partner,61996.0,1,514,27,1230,37,21,3,0,1
Graduate,Partner,51287.0,2,89,10,182,46,11,0,0,0
Graduate,Partner,13260.0,2,310,48,49,44,10,0,0,0
Postgraduate,Partner,47472.0,2,286,39,75,48,8,0,0,0
Postgraduate,Partner,54603.0,2,355,85,227,58,16,0,0,0
Postgraduate,Partner,45207.0,2,596,64,215,40,15,1,0,0
Graduate,Partner,40689.0,1,468,69,444,63,20,0,0,0
Graduate,Partner,47821.0,2,252,54,47,47,5,0,0,0
Postgraduate,Partner,27450.0,0,440,57,143,63,7,0,0,0
Graduate,Partner,39453.0,1,87,64,55,31,7,0,0,0
Graduate,Partner,26850.0,2,72,10,63,43,11,0,0,0
Graduate,Single,79800.0,0,644,65,1867,59,22,3,0,1
Postgraduate,Partner,61794.0,1,288,74,611,53,20,0,0,0
Graduate,Partner,53863.0,1,43,4,473,59,18,1,0,0
Graduate,Partner,24221.0,0,313,94,55,55,6,0,0,0
Postgraduate,Single,39684.0,1,625,41,81,30,7,0,1,1
Postgraduate,Partner,92163.0,0,564,25,2086,39,21,2,0,1
Postgraduate,Single,69882.0,0,231,94,1478,49,20,0,0,0
Graduate,Partner,33178.0,1,150,9,49,37,5,0,0,0
Postgraduate,Partner,59973.0,0,291,47,382,42,15,0,0,0
Postgraduate,Partner,17459.0,1,283,12,69,39,9,0,0,1
Graduate,Single,23910.0,1,611,80,67,45,6,0,0,0
Postgraduate,Partner,42169.0,2,253,20,30,45,6,0,0,0
Graduate,Partner,26224.0,1,390,39,63,36,9,0,0,0
Graduate,Partner,31089.0,1,681,57,79,33,10,0,0,0
Graduate,Single,30081.0,1,493,27,42,53,5,0,0,0
Graduate,Partner,62807.0,1,667,83,819,54,23,0,0,0
Graduate,Single,72906.0,0,285,79,1151,59,17,0,0,0
Postgraduate,Partner,61467.0,2,567,69,594,66,20,0,0,0
Postgraduate,Partner,49618.0,2,519,77,129,48,11,0,0,0
Postgraduate,Single,21888.0,1,547,15,213,28,12,0,0,1
Graduate,Single,42429.0,1,138,99,67,41,7,0,0,0
Graduate,Single,26150.0,3,475,61,28,58,5,0,0,0
Undergraduate,Partner,30801.0,1,611,23,45,39,6,0,0,0
Graduate,Partner,81168.0,0,53,84,1193,49,18,1,0,0
Postgraduate,Single,26877.0,0,314,74,268,45,12,0,0,0
Postgraduate,Single,45006.0,0,346,90,266,70,12,0,0,0
Undergraduate,Partner,18978.0,1,565,41,37,41,5,0,0,0
Graduate,Partner,22574.0,3,244,28,37,47,7,0,0,0
Postgraduate,Single,48240.0,0,597,73,882,45,25,0,0,1
Graduate,Partner,45837.0,2,338,88,373,40,18,0,0,0
Postgraduate,Single,35791.0,3,419,94,35,49,6,0,0,0
Graduate,Single,54162.0,2,468,31,42,36,5,0,0,0
Postgraduate,Partner,30522.0,1,681,6,326,54,17,0,0,0
Postgraduate,Partner,54456.0,1,353,23,404,53,17,0,0,0
Graduate,Single,31632.0,0,350,92,95,43,6,0,0,0
Graduate,Single,72298.0,0,111,52,939,65,14,2,0,0
Graduate,Single,36975.0,1,183,50,33,36,5,0,0,0
Graduate,Partner,72635.0,0,391,54,981,59,21,1,0,0
Graduate,Partner,13624.0,1,525,93,36,38,7,0,0,0
Graduate,Single,84196.0,1,391,56,1237,39,20,0,0,0
Graduate,Partner,70971.0,1,646,28,1825,54,34,0,0,1
Postgraduate,Single,34487.0,2,661,94,103,37,9,0,0,0
Graduate,Single,28769.0,1,558,76,191,37,12,0,0,0
Postgraduate,Partner,69084.0,1,222,43,1586,44,25,0,0,0
Postgraduate,Partner,65488.0,0,16,46,963,56,14,0,0,0
Graduate,Partner,62466.0,1,165,13,889,44,26,0,0,0
Graduate,Single,32218.0,0,134,27,93,54,7,1,0,1
Graduate,Single,83917.0,0,437,12,1587,41,21,0,0,1
Graduate,Single,46102.0,3,111,3,16,52,4,0,0,0
Graduate,Single,84574.0,0,390,72,1375,62,32,0,0,0
Graduate,Partner,56181.0,1,537,6,393,52,14,0,0,0
Postgraduate,Single,63120.0,1,639,53,1477,64,26,0,0,1
Graduate,Partner,73691.0,1,235,58,1179,43,18,1,0,0
Graduate,Partner,63381.0,1,632,78,1005,54,26,0,0,0
Postgraduate,Partner,76140.0,0,47,57,1348,66,21,0,0,0
Postgraduate,Single,62859.0,1,546,37,1307,55,23,0,0,0
Graduate,Single,45906.0,1,418,20,486,50,15,1,0,0
Postgraduate,Partner,77632.0,0,476,73,2252,67,13,2,0,1
Postgraduate,Partner,46463.0,2,315,56,235,43,17,0,0,0
Graduate,Partner,105471.0,0,524,36,1724,44,30,2,0,1
Postgraduate,Single,55282.0,1,198,9,235,44,11,0,0,0
Postgraduate,Partner,78710.0,1,37,42,1092,37,28,0,0,0
Graduate,Partner,66886.0,1,286,28,599,56,17,0,0,0
Postgraduate,Single,98777.0,0,132,23,2008,54,19,1,0,0
Graduate,Partner,29103.0,1,671,38,48,29,6,0,0,0
Graduate,Partner,67445.0,1,686,63,1174,40,32,0,0,0
Postgraduate,Partner,50616.0,1,77,71,67,64,7,0,0,0
Graduate,Single,49431.0,1,695,9,365,59,15,0,0,0
Graduate,Partner,61278.0,1,176,87,165,61,10,0,0,0
Graduate,Partner,26490.0,0,645,92,210,56,11,0,0,0
Postgraduate,Partner,73059.0,1,302,36,1095,67,26,0,0,0
Postgraduate,Single,46734.0,3,251,86,223,48,12,1,0,0
Graduate,Partner,56253.0,1,569,83,597,51,22,0,0,0
Graduate,Partner,19986.0,1,227,74,22,29,4,0,0,0
Graduate,Single,58330.0,1,186,87,1064,39,24,0,0,0
Undergraduate,Partner,25965.0,0,660,29,74,34,6,0,0,0
Postgraduate,Partner,14661.0,0,544,88,26,58,5,0,0,0
Graduate,Partner,18690.0,0,548,77,60,55,5,0,0,0
Postgraduate,Partner,45068.0,1,409,25,20,40,4,0,0,0
Undergraduate,Single,21063.0,1,277,34,59,27,7,0,0,0
Postgraduate,Partner,29187.0,1,416,43,34,46,5,0,0,0
Graduate,Partner,54690.0,2,234,76,198,43,12,0,0,0
Postgraduate,Partner,59304.0,1,335,81,1048,50,28,0,0,0
Postgraduate,Single,59247.0,2,233,87,574,52,21,0,0,0
Graduate,Single,66731.0,1,655,33,1029,44,17,0,0,0
Graduate,Partner,77353.0,1,195,38,670,34,20,0,0,0
Postgraduate,Single,52614.0,1,575,63,990,39,16,0,0,0
Graduate,Partner,26751.0,2,38,26,11,40,4,0,0,0
Postgraduate,Partner,81300.0,1,607,17,1241,51,21,1,0,1
Graduate,Single,70337.0,0,178,75,576,35,17,0,0,0
Graduate,Partner,36145.0,1,378,13,172,29,12,1,0,1
Postgraduate,Single,65295.0,0,188,19,664,34,20,0,0,0
Graduate,Single,68118.0,1,254,51,928,51,23,0,0,0
Graduate,Single,68743.0,0,668,81,2074,47,30,0,0,0
Graduate,Partner,41039.0,0,339,32,467,32,15,0,0,0
Graduate,Partner,38946.0,1,248,84,257,59,12,0,0,0
Graduate,Partner,65777.0,0,192,87,1146,47,17,0,0,0
Postgraduate,Single,66476.0,1,479,99,689,38,20,0,0,0
Postgraduate,Single,86857.0,0,655,96,2114,42,22,0,0,1
Postgraduate,Partner,77845.0,0,44,40,1346,25,21,2,0,0
Postgraduate,Partner,69476.0,0,272,3,1044,45,15,0,0,0
Postgraduate,Single,50611.0,1,633,98,493,54,22,1,0,1
Graduate,Single,61209.0,0,308,73,957,44,13,0,0,0
Postgraduate,Partner,42315.0,1,352,90,270,56,12,0,0,0
Undergraduate,Partner,13084.0,0,239,29,29,62,5,0,0,0
Postgraduate,Single,47570.0,2,396,3,121,65,9,0,0,1
Postgraduate,Partner,61923.0,2,338,94,126,53,8,0,0,0
Graduate,Single,34824.0,0,95,65,23,19,4,0,0,0
Postgraduate,Single,26518.0,2,447,33,57,65,8,0,0,1
Graduate,Single,45938.0,0,238,46,636,53,20,0,0,0
Graduate,Partner,78468.0,0,81,29,1004,54,28,1,0,0
Graduate,Single,78901.0,1,285,99,734,41,20,0,0,0
Graduate,Partner,71427.0,2,109,26,614,36,20,0,0,0
Graduate,Single,71022.0,1,138,30,1453,36,21,1,0,0
Postgraduate,Single,90247.0,0,61,27,1621,26,15,3,0,1
Postgraduate,Single,41335.0,1,185,24,187,46,12,0,0,0
Graduate,Partner,71952.0,1,535,93,1443,28,22,2,0,0
Postgraduate,Single,35682.0,1,2,34,57,44,6,0,0,0
Graduate,Single,43185.0,1,445,88,637,63,20,0,0,0
Postgraduate,Partner,66375.0,1,220,96,948,66,14,1,0,0
Postgraduate,Partner,35178.0,1,535,10,59,43,5,1,0,1
Graduate,Partner,25252.0,1,352,26,18,28,4,0,0,0
Postgraduate,Single,55250.0,1,616,49,903,49,26,0,0,0
Graduate,Single,33249.0,1,494,11,112,39,8,0,0,0
Graduate,Partner,58398.0,0,411,44,596,61,20,0,0,0
Graduate,Partner,50272.0,1,326,75,233,32,13,0,0,0
Postgraduate,Partner,76618.0,0,569,64,1511,39,11,0,0,0
Graduate,Single,87305.0,0,644,19,1152,54,17,1,0,1
Graduate,Partner,25851.0,1,503,45,48,36,7,0,0,0
Graduate,Single,58710.0,1,455,77,1185,44,31,0,0,0
Graduate,Single,45160.0,2,92,9,21,56,4,0,0,0
Postgraduate,Partner,74806.0,1,557,1,965,49,16,0,0,0
Graduate,Partner,59111.0,0,423,90,869,60,21,0,0,0
Postgraduate,Partner,18988.0,1,37,43,16,30,6,0,0,0
Graduate,Partner,72190.0,0,501,79,1947,49,16,0,0,0
Graduate,Partner,7500.0,1,697,19,71,38,12,1,0,1
Graduate,Partner,44794.0,1,21,99,65,48,6,0,0,0
Graduate,Partner,80395.0,0,218,62,1380,59,24,1,0,0
Postgraduate,Single,75012.0,0,155,41,1027,38,23,0,0,0
Postgraduate,Partner,56962.0,3,261,60,411,49,21,0,0,0
Graduate,Partner,89891.0,0,440,17,836,23,26,1,0,0
Postgraduate,Single,35946.0,2,275,24,11,65,4,0,0,0
Postgraduate,Partner,53593.0,2,691,60,480,61,23,0,0,0
Graduate,Partner,66373.0,2,382,57,606,36,23,0,0,0
Postgraduate,Single,45072.0,3,256,74,284,66,16,0,0,0
Graduate,Single,89694.0,2,263,22,1472,41,14,3,0,0
Graduate,Partner,72025.0,0,61,46,1677,65,26,3,0,1
Graduate,Partner,67432.0,1,457,69,1335,41,19,0,0,0
Postgraduate,Partner,70545.0,1,26,29,334,62,13,0,0,0
Undergraduate,Partner,17487.0,1,468,37,18,25,4,0,0,0
Graduate,Partner,62882.0,1,689,26,1338,45,20,0,0,0
Postgraduate,Single,64108.0,1,463,8,1099,61,30,0,0,0
Postgraduate,Partner,34941.0,2,480,26,97,58,8,0,0,0
Postgraduate,Single,48767.0,3,179,79,63,64,9,0,0,0
Graduate,Partner,38702.0,1,332,71,109,36,9,0,0,0
Graduate,Partner,82224.0,0,155,83,902,50,21,1,0,0
Graduate,Partner,83844.0,0,413,57,1574,62,20,1,0,0
Graduate,Partner,17003.0,1,202,37,38,39,9,0,0,0
Graduate,Single,71163.0,0,112,30,960,19,24,0,0,0
Graduate,Single,33697.0,1,287,34,28,44,4,1,0,0
Graduate,Partner,63564.0,0,151,0,1215,60,28,1,0,1
Postgraduate,Partner,83443.0,0,180,89,1497,42,22,0,0,0
Postgraduate,Partner,51518.0,1,269,92,449,56,17,0,0,0
Graduate,Single,58330.0,1,186,87,1064,39,24,0,0,0
Graduate,Partner,80952.0,0,486,20,1757,45,25,3,0,1
Graduate,Partner,75507.0,0,58,56,1440,35,21,0,0,0
Graduate,Partner,63855.0,0,505,28,1006,36,24,0,0,0
Postgraduate,Partner,62220.0,1,687,55,1226,42,23,0,0,1
Graduate,Partner,58512.0,1,283,25,1171,50,20,0,0,0
Postgraduate,Partner,40662.0,1,471,0,92,35,8,0,0,0
Postgraduate,Partner,38829.0,1,84,86,99,55,8,0,0,0
Graduate,Partner,35523.0,1,269,8,66,33,8,0,0,0
Graduate,Single,79146.0,2,66,33,564,47,19,0,0,0
Postgraduate,Partner,78285.0,0,244,13,1427,26,21,0,0,0
Postgraduate,Single,31626.0,1,415,12,86,36,6,1,0,1
Graduate,Single,75127.0,0,38,92,833,62,19,0,0,0
Graduate,Partner,48726.0,1,428,90,242,59,12,0,0,0
Graduate,Partner,74985.0,0,656,8,1869,37,17,0,0,0
Graduate,Partner,67430.0,0,662,6,1364,27,29,0,0,0
Graduate,Partner,46891.0,1,301,91,183,49,8,0,0,0
Postgraduate,Partner,62058.0,1,399,52,450,58,18,0,0,0
Graduate,Partner,72063.0,1,361,3,758,35,21,0,0,0
Postgraduate,Partner,78939.0,0,199,57,1507,63,20,0,0,0
Graduate,Single,42720.0,2,431,9,654,49,25,0,0,1
Graduate,Partner,33622.0,2,442,22,81,42,9,0,0,0
Postgraduate,Partner,6835.0,1,568,76,137,57,1,0,0,0
Graduate,Partner,41452.0,2,480,86,16,61,4,0,0,0
Postgraduate,Single,40760.0,1,303,64,93,49,8,0,0,0
Postgraduate,Partner,74250.0,0,154,90,1158,56,18,0,0,0
Postgraduate,Single,51124.0,2,193,79,43,59,6,0,0,0
Graduate,Single,72258.0,1,290,28,1525,43,22,0,0,0
Postgraduate,Single,71466.0,0,85,86,1230,40,19,0,0,0
Graduate,Partner,36283.0,2,76,42,29,38,6,0,0,0
Graduate,Single,20587.0,1,49,39,25,44,5,0,0,0
Graduate,Partner,30467.0,1,102,8,24,42,4,0,0,0
Graduate,Partner,31590.0,1,376,40,38,42,5,0,0,0
Undergraduate,Partner,20425.0,1,608,5,57,28,7,0,0,0
Postgraduate,Partner,17144.0,2,134,96,47,54,12,0,0,0
Postgraduate,Single,42564.0,1,543,28,813,46,24,1,0,1
Postgraduate,Partner,43783.0,1,31,22,629,36,22,1,0,0
Graduate,Single,40780.0,1,659,30,377,38,17,0,0,0
Postgraduate,Partner,62847.0,0,530,45,1612,69,14,0,0,0
Postgraduate,Partner,82017.0,0,599,58,729,57,17,3,0,1
Graduate,Single,16813.0,0,345,49,50,64,6,1,0,0
Graduate,Partner,51267.0,2,243,37,270,36,15,0,0,0
Graduate,Single,46524.0,1,450,70,177,53,9,0,0,0
Postgraduate,Single,45183.0,0,525,33,315,52,13,1,0,0
Postgraduate,Partner,70421.0,1,1,98,767,60,23,0,0,0
Graduate,Single,60161.0,1,614,17,1071,49,26,0,0,0
Graduate,Partner,73926.0,0,484,54,1580,41,24,0,0,0
Graduate,Partner,19329.0,1,197,39,60,46,10,0,0,0
Postgraduate,Partner,61872.0,1,198,81,573,44,21,0,0,0
Graduate,Single,46984.0,2,460,71,41,58,5,0,0,0
Graduate,Partner,34838.0,2,526,62,170,63,10,0,0,0
Postgraduate,Single,82716.0,0,236,8,1167,70,28,0,0,0
Graduate,Partner,48192.0,0,449,76,1526,56,25,3,0,1
Postgraduate,Partner,49681.0,2,237,66,458,38,21,0,0,0
Postgraduate,Partner,56850.0,1,98,83,63,43,6,0,0,0
Graduate,Partner,55267.0,1,251,28,405,57,17,0,0,0
Graduate,Partner,59666.0,2,464,87,1027,42,20,1,0,0
Graduate,Single,72504.0,1,449,43,1478,42,22,0,0,0
Graduate,Partner,26872.0,0,256,0,72,33,5,0,0,0
Graduate,Single,21359.0,1,435,1,48,42,7,0,0,1
Graduate,Single,73170.0,0,29,1,726,39,16,0,0,0
Postgraduate,Partner,52750.0,1,510,72,860,59,27,0,0,0
Postgraduate,Partner,91820.0,0,218,72,1497,28,22,0,0,0
Postgraduate,Partner,65968.0,1,48,12,495,44,18,0,0,0
Graduate,Partner,30772.0,2,109,89,20,38,4,0,0,0
Graduate,Single,22507.0,0,582,67,570,60,19,0,0,0
Graduate,Partner,65685.0,1,92,54,769,42,21,0,0,0
Graduate,Partner,25804.0,1,301,34,55,36,7,0,0,0
Postgraduate,Single,76412.0,0,420,15,1808,34,18,2,0,1
Graduate,Partner,22063.0,1,325,43,55,42,7,0,0,0
Graduate,Single,57091.0,0,14,0,577,53,18,1,0,1
Graduate,Partner,22419.0,0,437,74,162,51,8,0,0,0
Graduate,Partner,87771.0,1,403,61,1957,55,20,4,0,1
Graduate,Single,78353.0,1,439,51,1576,55,24,0,0,0
Graduate,Partner,93404.0,3,418,97,1616,60,17,2,0,0
Graduate,Single,37859.0,3,533,75,36,52,6,0,0,0
Postgraduate,Single,80995.0,1,414,83,1482,56,22,0,0,0
Graduate,Partner,16529.0,1,120,23,22,30,5,0,0,0
Postgraduate,Single,55412.0,2,219,65,63,38,6,0,0,0
Graduate,Single,48789.0,0,657,94,680,22,18,0,0,0
Postgraduate,Partner,56575.0,2,420,42,542,47,20,0,0,0
Graduate,Partner,25130.0,1,270,10,50,34,7,0,0,0
Graduate,Partner,35441.0,2,500,94,39,47,6,0,0,0
Graduate,Partner,71391.0,1,457,50,1043,58,28,0,0,0
Postgraduate,Single,49494.0,1,430,46,385,42,14,0,0,0
Graduate,Single,81702.0,0,644,98,1633,34,27,0,0,0
Graduate,Single,45889.0,1,362,42,46,34,5,0,0,0
Graduate,Single,56628.0,1,100,30,761,37,20,1,0,0
Graduate,Partner,34026.0,2,328,11,76,64,9,0,0,0
Graduate,Partner,40049.0,1,577,61,290,40,14,0,0,0
Graduate,Single,34176.0,1,48,12,89,26,11,0,0,0
Graduate,Partner,19419.0,1,596,76,70,33,11,0,0,0
Graduate,Partner,82504.0,0,337,2,1066,54,17,0,0,0
Graduate,Partner,81205.0,0,167,43,2009,44,19,3,0,1
Graduate,Single,61618.0,0,638,27,1345,23,19,0,0,0
Postgraduate,Single,55284.0,1,552,60,764,58,23,0,0,0
Graduate,Single,49980.0,1,249,79,195,51,11,0,0,0
Graduate,Partner,15072.0,2,415,96,53,34,11,0,0,0
Graduate,Single,49166.0,1,381,17,368,40,13,0,0,0
Postgraduate,Partner,65324.0,1,169,0,544,60,20,0,0,0
Graduate,Partner,82347.0,0,600,38,1853,57,25,2,0,0
Postgraduate,Partner,30843.0,2,34,43,35,48,6,1,0,0
Postgraduate,Partner,46374.0,1,104,1,446,40,18,2,0,1
Graduate,Single,60474.0,1,454,25,1180,35,31,0,0,0
Postgraduate,Partner,38576.0,1,117,2,41,41,5,0,0,0
Graduate,Partner,55357.0,2,495,66,727,29,22,0,0,0
Graduate,Partner,37758.0,2,633,49,40,48,6,0,0,0
Graduate,Partner,85710.0,0,420,5,1062,25,26,1,0,0
Graduate,Partner,23228.0,1,154,71,40,45,7,0,0,0
Postgraduate,Partner,44602.0,2,134,35,292,45,17,0,0,0
Graduate,Partner,7500.0,0,536,94,15,27,4,0,0,0
Graduate,Partner,38683.0,1,633,80,341,25,17,0,0,0
Graduate,Single,49514.0,1,194,61,369,39,13,0,0,0
Postgraduate,Partner,57906.0,1,383,29,401,41,17,0,0,0
Postgraduate,Single,43456.0,1,460,0,393,48,17,0,0,0
Postgraduate,Single,19485.0,2,278,80,10,28,4,0,0,0
Graduate,Partner,53172.0,1,419,54,486,36,16,0,0,0
Graduate,Partner,30545.0,1,620,71,69,35,7,0,0,0
